Rank,Player,Position,School,Class,Photo_Url,Pick,Slot Value,Adjusted Slot Bonus
50,Denton Lord,RHP,South Walton,H,https://www.prepbaseballreport.com/passets/photo/FL/6509487321-denton-lord-2025.jpg,50,"$1,934,700","$1,934,700"
51,Jack Radel,RHP,Notre Dame,C,https://pbs.twimg.com/profile_images/1592706742210760704/-IQKoJHz_400x400.jpg,51,"$1,891,200","$1,891,200"
52,Dominic Santarelli,1B/OF,St. Joseph,H,https://pbs.twimg.com/media/Gj28QcqXMAAvtQ9?format=jpg&name=4096x4096,52,"$1,846,700","$1,846,700"
53,Aiden Ruiz,SS,The Stony Brook School,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/8872368.jpeg,53,"$1,803,500","$1,803,500"
54,Luke Williams,SS/OF,Franklin Regional,H,https://assets-tribhssn.triblive.com/2023/04/6138923_web1_ptr-FRGateway09-040523.jpg,54,"$1,761,600","$1,761,600"
55,Martin Shelar,OF,Marist,H,https://s3media.247sports.com/Uploads/Assets/908/722/12722908.jpg,55,"$1,720,300","$1,720,300"
56,Bo Lowrance,3B,Christ Church Episcopal,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/5260305.jpeg,56,"$1,680,000","$1,680,000"
57,Coleman Borthwick,3B/RHP,South Walton,H,https://pbs.twimg.com/media/Gq3jyqZXAAA_c5s?format=jpg&name=900x900,57,"$1,636,800","$1,636,800"
58,Cole Carlon,LHP,Arizona State,C,https://thesundevils.com/imgproxy/170qdChrf9K2WQrJj15NzppZ-RcUSzHKzRFEO9ctXzs/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3RoZXN1bmRldmlscy1jb20tcHJvZC8yMDI1LzA1LzEzL1lDaXo0Nks3ak1BOFpEOXhZNXpscmdQUXBENVJlVzRqaWFlYlI4RjUud2VicA.webp,58,"$1,598,100","$1,598,100"
59,Rocco Maniscalco,SS,Oxford,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/p6h3mirsgve4n2hv6woy.jpg",59,"$1,560,200","$1,560,200"
60,Lucas Nawrocki,LHP,Aledo,H,https://pbs.twimg.com/media/F0nRKCvWYAABGC0?format=jpg&name=4096x4096,60,"$1,523,200","$1,523,200"
61,Kaden Waechter,RHP,Jesuit,H,"https://image.maxpreps.io/rosters/76954902-6d31-4d59-b6f4-dbdf36f35ff5/5/9/d/59d10f02-d23e-42fd-aaa9-166ade698565/original.jpg?version=638440377263400063&width=1024&crop=1:1,smart",61,"$1,486,700","$1,486,700"
62,Trey Beard,LHP,Florida State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffsuni.sidearmsports.com%2Fimages%2F2025%2F8%2F25%2FBeard__Trey_25-264RL__027_.JPG&width=180&height=270&type=webp,62,"$1,451,200","$1,451,200"
63,Alex Hernandez,OF/2B,Georgia Tech,C,https://ramblinwreck.com/imgproxy/RrJkP0RfACu27-AwdjMpl0bTajG4GYsmW6k-BaW8BP4/fit/2500/2500/ce/0/aHR0cHM6Ly9yYW1ibGlud3JlY2suY29tL3dwLWNvbnRlbnQvdXBsb2Fkcy8yMDI0LzExL0FsZXgtSGVybmFuZGV6LUhTLmpwZw.jpg,63,"$1,416,600","$1,416,600"
64,Ben Blair,RHP,Liberty,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Flibertyuni.sidearmsports.com%2Fimages%2F2025%2F1%2F14%2FBen_Blair_20241122-8606AG.jpg&width=180&height=270&type=webp,64,"$1,382,300","$1,382,300"
65,Cole Prosek,3B,Magnolia Heights,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/5052924.jpg,65,"$1,349,100","$1,349,100"
66,Will Yow,SS,St. Anne's-Belfield,H,https://pbs.twimg.com/profile_images/1970686480860237824/FYB1WOko_400x400.jpg,66,"$1,320,400","$1,320,400"
67,Isaiah Galason,SS,Houston County,H,https://pbs.twimg.com/profile_images/1888943956504756224/e_ZA_r_a_400x400.jpg,67,"$1,285,400","$1,285,400"
68,Gavin Grahovac,3B,Texas A&M,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ftamu.sidearmsports.com%2Fimages%2F2025%2F1%2F14%2FGrahovac_-Gavin.jpg&width=180&height=270&type=webp,68,"$1,254,400","$1,254,400"
69,Chase Meyer,RHP,West Virginia,C,https://wvusports.com/images/2025/1/8/Meyer-Chase.jpg,69,"$1,223,800","$1,223,800"
70,Tegan Kuhns,RHP,Tennessee,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Futsports.com%2Fimages%2F2025%2F10%2F8%2FKuhns_Tegan.jpg&width=180&height=270&type=webp,70,"$1,193,500","$1,193,500"
71,Taj Marchand,SS,James Island,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/10103470.jpeg,71,"$1,163,700","$1,163,700"
72,Jaden Jackson,SS/OF,St. John Bosco,H,https://www.presstelegram.com/wp-content/uploads/2025/05/LPT-L-HSB-BOSCO-JSER-16x9-1.jpg?w=620,72,"$1,145,900","$1,145,900"
73,Andrew Williamson,OF,Central Florida,C,https://ucfknights.com/imgproxy/KSJa-lk5-CuiwE9vsA-SEGBuyHc3Zg0GMRTLsqkZqJ0/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3VjZmtuaWdodHMtY29tLXByb2QvMjAyMy8xMi8xMy9NSmV5QjJNTzFWd2RKNGQ0dFpxUFJzWjhON1gxaDhJNHFueE52ZVBqLmpwZw.jpg,73,"$1,128,400","$1,128,400"
74,Kade Lewis,1B,Wake Forest,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fwakeforestsports.com%2Fimages%2F2025%2F1%2F28%2FKade_Lewis_Headshot.JPG&width=180&height=270&type=webp,74,"$1,111,000","$1,111,000"
75,Brady Harris,OF,Trinity Christian Academy,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/pssqlqwwemin8xqcub0l.jpg",75,"$1,093,800","$1,093,800"
76,Jason DeCaro,RHP,North Carolina,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Func.sidearmsports.com%2Fimages%2F2024%2F11%2F14%2FDecaro_Jason.2025.bb.137.jpg&width=180&height=270&type=webp,76,"$1,076,800","$1,076,800"
